pair,fold,net_pnl_total,trades,hit_rate,reason
IWDA_AS_EUNL_DE,1,0.0,0,0.0,SKIP_MIN_TRADES_TEST
IWDA_AS_EUNL_DE,2,2385960.367494617,2,1.0,
IWDA_AS_EUNL_DE,3,0.0,0,0.0,SKIP_TOO_SHORT
IWDA_AS_EUNL_DE,4,156225.5548446707,2,0.5,
IWDA_AS_EUNL_DE,5,-3112165.5088973218,1,0.0,
IWDA_AS_EUNL_DE,6,2160870.170108086,1,1.0,
IWDA_AS_EUNL_DE,7,1194168.7424093517,1,1.0,
VUAA_L_VUSA_L,1,101557.36204464918,1,1.0,
VUAA_L_VUSA_L,2,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VUAA_L_VUSA_L,3,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VUAA_L_VUSA_L,4,17916.85256086917,2,0.5,
VUAA_L_VUSA_L,5,-56063.176138640294,1,0.0,
VUAA_L_VUSA_L,6,10311.074120153951,1,1.0,
VUAA_L_VUSA_L,7,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,1,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,2,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,3,-205.0899239657931,1,0.0,
VWRL_L_VEVE_AS,4,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,5,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,6,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,7,0.0,0,0.0,SKIP_MIN_TRADES_TEST
